Codigo;Hacinamiento;VIvInconv;SanitarioNo;EscolaridadNO;SUbsiNo;NBISi
661400506;4.12;4.53;0.82;0.41;0.41;9.47
661400507;3.24;0.93;6.48;0;0;9.26
661400508;0;0.51;0;0;0.51;1.01
661400509;1.23;3.07;0.61;0;0;4.91
661400601;2.27;4.79;2.77;0.5;1.51;10.33
661400602;1.17;2.92;1.17;0;0.58;5.85
661400603;1.3;2.61;0;0.43;1.3;5.22
661400604;0.47;5.16;0;0;0.47;6.1
661400605;1.15;2.87;0.86;0.29;0.29;4.89
661400606;1.42;7.09;1.06;0;0.35;9.22
661400607;6.17;3.7;1.65;0.82;1.23;11.93
661400608;2.18;4.36;2.42;0.97;1.94;11.62
661400609;2.4;3.85;1.44;0;0;6.73
661400610;1.1;2.76;0;0;0;3.87
661400611;4.95;0.33;2.97;1.65;0.66;9.24
661400612;2.53;0.51;0.51;2.53;1.52;6.57
661400613;2.92;2.5;3.33;2.08;0;8.75
661400614;2.37;1.32;1.58;1.84;0.26;6.84
661400615;5.37;2.48;0.41;0.83;0;7.85
661400616;2.13;0;2.98;2.98;0;5.96
661470101;5;0;0;0;10;10
661470102;19.61;1.96;5.88;1.96;1.96;27.45
661470103;12.5;1.79;16.07;0;3.57;30.36
661470104;0;0;7.14;0;0;7.14
661470105;5.13;7.69;5.13;0;5.13;23.08
661470201;10.81;0;0;0;8.11;16.22
661470202;6.78;6.78;3.39;0;0;15.25
661470203;0;0;0;0;0;0
661470204;6.67;0;26.67;0;0;33.33
661470205;0;0;0;0;0;0
661470301;0;0;64.29;0;0;64.29
661470302;0;0;61.54;0;0;61.54
661470303;10;10;15;0;0;30
661470304;0;0;0;0;0;0
661470305;7.89;0;5.26;0;0;13.16
661470306;2.29;8.4;3.05;0.76;0.76;14.5
661470307;7.01;4.88;1.52;1.22;0.91;14.33
661470308;0;0;50;0;0;50
661470309;0;0;0;12.5;0;12.5
661470310;0;0;50;0;0;50
661470311;6.44;4.29;1.29;0.43;0.43;11.16
661470312;3.86;8.88;0.39;0;0.39;13.13
661470313;11.43;8;1.71;1.14;0;18.86
661470401;4.24;5.08;1.41;0.28;0;10.45
661470402;5.25;2.62;0.98;0.98;0.98;9.84
661470403;1.75;10.53;7.02;0;1.75;21.05
661470404;6.25;3.57;0.89;1.79;0.89;12.5
661470405;2.7;10.81;0;0;0;10.81
661470406;0;0;18.75;0;0;18.75
661470407;7.77;11.84;0.78;0.78;1.75;19.61
661470408;10.15;5.54;1.54;0.92;1.54;17.23
661470409;7.79;4.87;1.3;1.3;0.65;15.26
661470410;14.69;5.71;4.9;2.86;2.04;25.31
661470411;16.28;4.19;6.05;0.93;0.47;25.58
661470501;5.45;3.21;1.28;0.32;0.96;10.58
661470502;4.86;3.47;0;0;1.39;9.03
661470503;1.52;0.61;0;1.21;0.3;3.64
661470504;2.51;0.42;0;0.42;0.42;3.35
661470505;1.8;3.24;0;0;0;5.04
661470506;3.13;5.99;0.26;1.04;1.04;9.64
661470507;1.61;1.61;0.4;0.4;0.4;3.61
661470508;3.27;6.91;0;0.36;0.36;10.91
661470509;2.7;2.36;0;0;0;5.07
661470510;3.36;2.52;0;0;0;5.88
661470601;3.67;4.46;2.1;0.26;1.05;9.97
661470602;5.63;3.29;0;1.41;0;8.45
661470603;5.02;11.72;0;0.84;0.42;17.15
661470604;4.02;16.58;0;1.01;1.51;21.61
661470605;2.89;4.69;0;0.72;0;7.94
661470606;1.1;9.89;0;1.1;0;12.09
661470607;0.63;6.33;0.63;0;0.63;8.23
661470608;4.93;10.53;0;0.33;0.66;16.12
661470609;5.85;4.26;1.6;0.53;0;11.7
661470610;4.1;16.41;1.54;2.05;0;20.51
661470611;4.73;4.73;10.06;1.18;0.3;18.34
661470701;6.4;3.45;2.46;0.49;0;11.82
661470702;4.22;4.22;0;0;1.2;9.04
661470703;0.75;1.5;2.26;0;0;3.01
661470704;0;2.7;0;0.9;0;3.6
661470705;3.26;5.43;2.17;0;0;9.78
661470706;0;2.7;0.68;0;0;3.38
661470707;0;0;0;0;0;0
661470708;0;1.43;0;0;0;1.43
661470709;2.22;0;0;0;0;2.22
661470710;2.27;2.27;1.14;0;0;5.11
661470711;2.61;3.48;1.74;0;0.87;8.7
661470712;0.88;1.77;0;0.88;0;3.54
661470713;0;0;0;0;0;0
661470801;6.12;12.24;0;3.57;0;19.9
661470802;5.45;10.12;0;1.17;0.39;14.79
661470803;3.55;3.9;0;0.71;0.35;7.45
661470804;0.53;2.13;0;0;0.53;3.19
661470805;4.65;13.95;3.1;1.55;0;20.16
661470806;4.29;28.33;0;0.86;2.58;32.62
661470807;6.15;4.92;0.62;1.54;0;10.77
661470808;1.97;2.96;0;1.97;0.66;6.91
661470809;3.6;10.43;0;0.36;1.08;13.67
661470810;3.04;10.22;1.1;1.38;0.83;14.36
661470811;9.23;7.69;0.77;5.38;0.77;21.54
661470812;5.66;17.3;2.52;2.83;0.94;26.1
661470813;8.13;3.25;1.22;0.41;0.81;13.01
661540101;0;0;2.44;2.44;0;4.88
661540102;4.82;2.41;4.82;3.61;2.41;14.46
661540103;5.88;0;13.73;3.92;3.92;23.53
661540104;0;0;0;0;0;0
661540105;3.74;10.75;8.88;2.8;1.87;25.23
661540106;3.48;6.96;1.74;0.43;1.74;13.04
661540201;2.97;0;7.92;2.97;0;12.87
661540202;0;0;0;0;3.03;3.03
661540203;2.56;2.56;26.92;0;1.28;30.77
661540204;7.58;1.52;0;1.52;3.03;13.64
661540205;0;0;0;0;0;0
661540206;2.78;0;0;0;0;2.78
