Codigo;Hacinamiento;VIvInconv;SanitarioNo;EscolaridadNO;SUbsiNo;NBISi
660280902;3.64;6.95;0.66;0.33;0.33;11.26
660280903;1.2;1.99;0;0.4;0;3.19
660280904;1.6;3.48;0.53;0.53;0;5.88
660280905;0;2.31;0;0;0;2.31
660280906;0.77;4.21;0;0.38;0;4.98
660280907;1.84;0.46;0.46;1.38;0;4.15
660280908;0;0.42;0;0;0;0.42
660280909;0.56;0.28;0;0.56;0.56;1.95
660280910;0;0;0;0.78;0.26;1.04
660280911;0.74;0;0;0.74;0;1.48
660280912;2.26;1.89;0;0.75;0;4.53
660281001;6.15;5.59;0;0.56;1.12;12.85
660281002;1.34;4.46;0;2.23;0;8.04
660281003;4.15;7.47;0.41;1.66;0.83;12.45
660281004;1.99;3.48;0;0.5;0;5.97
660281005;3.23;14.37;0;1.47;1.17;19.35
660281006;2.01;7.16;0;0.57;0.86;10.03
660281007;4.33;12.69;0.31;0.93;0.62;17.03
660281008;3.7;5.86;0;0.62;0.31;9.88
660281009;3.06;7.86;1.75;0;0;12.66
660281010;1.88;4.23;1.41;1.41;0.94;8.92
660281011;2.65;13.26;0.38;0;0;15.91
660281012;3.92;5.23;0.65;0.98;0.65;10.13
660281101;3.23;8.96;0;2.15;1.08;13.62
660281102;2.89;13.36;0;5.42;0.36;19.13
660281103;4.14;5.73;0;4.46;1.27;14.65
660281104;8.62;6.46;2.77;6.15;1.23;20.62
660281105;2.1;9.09;0;1.4;1.75;14.34
660281106;2.67;9.07;0;3.47;0.8;14.13
660281107;2.8;7.2;0;1.6;0.8;12
660281108;5.56;4.37;0.4;4.37;0;11.51
660281109;2.2;11.95;0;2.93;0.24;15.85
660281110;4.03;10.22;0.27;2.69;1.34;16.13
660281111;2.71;5.96;1.08;2.71;0.81;12.2
660281112;4.5;4.73;0.45;2.03;0.23;11.04
660281201;1.38;4.37;0;0.69;0.23;6.21
660281202;0.83;4.13;0;0.55;1.1;6.61
660281203;1.57;3.94;0;0;0.39;5.51
660281204;0.42;3.35;0.42;0.42;0;4.18
660281205;0.81;2.98;0;0.27;0;3.79
660281206;0.37;2.94;0.37;0.37;0.37;4.04
660281207;0;0.9;0;0;0;0.9
660281208;0.37;4.4;0.73;1.1;0.37;5.86
660281209;1.01;1.69;0.34;0;0;2.7
660281210;1.69;2.54;0;0;0.28;4.24
660281211;0.98;1.96;0;0;0;2.94
660281212;0;0.82;0;0;0;0.82
660281213;0;4.21;0.26;0;0;4.47
660281214;0.49;1.47;0;0;0.49;2.45
660281215;0.53;3.72;0;1.06;0;4.79
660281301;0;1.59;0;0.79;0.4;2.78
660281302;1.61;6.02;0;2.41;0;8.84
660281303;0.93;5.61;0;0.47;0;7.01
660281304;0.36;0.36;0;0;0;0.72
660281305;0;0.82;0.27;0;0;1.09
660281306;0.65;0.32;0.97;0;0;1.95
660281307;0.46;2.74;0.46;0;0;3.65
660281308;0.79;3.97;0;0.26;0;5.03
660281309;0;2.82;0;0;0.4;3.23
660281310;0.43;3.45;0.43;1.29;0;5.17
660281311;1.89;7.26;1.26;0.32;0.32;10.09
660281312;2.11;3.31;0.6;3.31;0.3;8.13
660281313;0.63;8.89;0;0;0;9.52
660281314;0.35;3.81;0;0;0;4.15
660281401;2.56;12.82;0;0;0;12.82
660281402;1.64;4.59;3.28;0.66;0;9.51
660281403;1.6;3.2;2.8;0.4;0.4;8.4
660281404;1.66;5.45;0.47;0.71;0;8.06
660281405;0.96;5.77;0;0.48;0;6.73
660281406;1.19;3.16;0;0.79;0.4;5.14
660281407;1.49;1.49;0;0.75;0;3.36
660281408;0;0.49;0;0.49;0;0.99
660281409;2.99;5.65;1;1;0;8.97
660281410;1.78;6.36;0;0.51;0.51;8.65
660281411;2.29;4.58;0;0;0;6.87
660281412;2.14;5;0.71;0.36;0;7.86
660281413;1.55;5.43;0;0;0;6.98
660281414;1.71;3.85;0;0.85;0.43;5.98
660281415;2.42;6.97;0;0;0;8.79
660281416;2.33;6.33;0.67;1.67;0;9.33
660281417;1.54;4.62;0.77;1.92;0.38;9.23
660281501;0;0.43;0;0;0;0.43
660281502;3.72;9.92;0;1.24;0;14.05
660281503;0.82;8.57;0;1.63;1.22;12.24
660281504;4.41;2.45;0;1.47;0.49;8.33
660281505;2.31;4.63;0;0;0.93;6.94
660281506;2.26;2.26;0;0;0.75;5.28
660281507;0.41;4.12;1.23;1.65;0;5.76
660281508;0.85;3.85;0;0.43;0.43;5.56
660281509;0.4;4.82;0;0.4;0;5.62
660281510;0.34;0.34;0.34;0;0;1.02
660281511;0.83;6.2;0;0.41;0.41;7.85
660281512;0.29;5.52;0.29;0.58;0;6.4
660281601;0.93;2.8;0.47;0.47;0;4.67
660281602;2.88;9.88;0;1.23;0.82;13.99
660281603;4.36;3.36;0;1.34;0;7.38
660281604;0.66;11.92;0;0.33;0;12.58
660281605;4.43;2.96;0.49;1.97;0;9.85
660281606;0.53;1.59;0.53;0;0;2.39
660281607;3.43;2.15;0;0.43;0;6.01
660281608;3.06;10.48;0;0;0;13.1
660281609;0;2.15;0;1.61;1.08;4.84
660281610;0.29;0.29;0.29;0.59;0;1.47
660281611;0;1.64;0;0.27;0;1.92
660281612;0;0.26;0;0.26;0.26;0.78
660281701;1.41;0.23;0;0;0.23;1.87
660281702;0;0;0;0.27;0;0.27
660281703;5.06;3.37;4.21;1.69;0;11.8
660281704;0;0.39;0.39;0.39;0;1.17
660281705;2.29;5.16;1.43;3.44;1.15;12.03
660281706;5.84;3.25;1.08;2.16;0.22;12.12
660281707;5.91;6.65;0;2.46;0.74;15.27
660281708;5.96;5.96;0.52;1.3;1.3;13.73
660281709;5.24;3.5;1.4;1.75;1.05;11.19
660281710;7.42;1.17;1.95;2.73;0.78;13.67
660281711;6.39;2.88;2.56;1.6;0.64;12.78
660281712;5.79;2.77;1.01;3.27;1.01;12.85
660281713;7.37;2.9;2.23;1.56;0;12.28
660281714;6.42;2.7;0;2.7;1.01;12.5
660281715;10.55;6.33;0;2.11;0.84;18.99
660281716;6.43;4.29;1.79;1.43;0.71;13.57
660281717;6.54;2.18;2.18;0.82;1.09;11.44
660281801;6.02;3.73;1.04;0.83;0.83;11.62
660281802;7.17;3.77;0;0;0;10.19
660281803;4.33;3.15;1.18;0;0.79;8.27
660281804;0.96;0.32;0.32;0.96;0;2.55
660281805;0.37;1.47;1.47;0.37;0;3.3
660281806;4.49;4.78;1.12;0;1.4;10.96
660281807;4.23;6.19;2.93;0.65;0.65;12.7
660281808;4.94;11.11;0.82;0.41;0.82;17.28
660281809;2.84;2.84;0.47;0;0.47;6.64
660281810;10.53;4.93;0.99;1.32;0;15.13
660281811;1.93;4.82;1.29;0.32;0.64;8.68
660281812;5.5;2.5;1.5;0.5;1.25;10.25
660281813;4.2;2.65;0.44;1.55;0.88;8.85
660281814;3.04;3.04;0;1.35;0.68;7.43
660281815;9.38;3.57;2.46;0.45;1.79;16.96
660281816;8.16;2.48;0.35;1.06;1.06;12.06
660281901;0.85;3.42;0;0;0;3.99
660281902;0.41;2.86;0;0;0;3.27
660281903;1.41;2.35;0;0;0;3.76
660281904;1.84;1.84;0;0;0;3.68
660281905;1.72;3.45;1.38;0.34;0.69;7.59
660281906;3.52;5.15;0.27;0;1.08;9.21
660281907;0.44;0.44;0;0.44;0.44;1.76
660281908;1.75;7.37;0;1.05;0.7;10.88
660281909;2.48;7.12;0.31;0.62;0.62;10.53
660281910;2.36;5.51;1.97;1.97;0.79;11.02
660281911;2.45;4.66;0.25;0.49;1.23;8.58
660281912;2.43;5.9;0.69;0;0;7.99
660281913;3.47;6.25;0;0.35;0;9.72
660281914;3.31;6.06;0.83;0.55;0.83;11.02
660281915;1.36;4.76;0.34;0.68;0.34;7.14
660281916;2.03;6.42;1.01;0.34;0.34;9.46
660282001;1.11;11.14;0;0.67;0.22;12.47
660282002;0.49;2.96;0;0.49;0;3.94
660282003;0.44;1.78;0;0.89;0;3.11
660282004;1;3.98;0;1.49;0;6.47
660282005;0.39;3.13;0;1.17;0;4.69
660282006;1.12;8.99;1.12;0.56;0;11.24
660282007;1.1;4.93;0;0.55;0.27;6.3
660282008;2.04;9.8;0;2.04;0;13.88
660282009;0;7.92;0.5;0;0;7.92
660282010;2.55;14.91;0;1.45;0.36;18.91
660282011;0.41;3.66;0;0.41;0;4.47
660282012;1.39;6.48;0.46;0.93;0.46;9.26
660282101;0.52;1.55;0;0;0.52;2.06
660282102;0.98;2.44;0;0.98;0;3.9
660282103;0.98;1.63;0;0;0;2.61
660282104;0;0.9;1.79;0;0.9;2.69
660282105;0.56;1.13;0;1.13;0.56;2.82
660282106;0;2.33;0;1.17;0;3.5
660282107;1.12;0.37;0;0;0;1.12
660282108;0;5.88;0.49;0;0;6.37
660282109;2.18;2.18;0;1.31;0;5.68
660282110;0.92;14.29;0.46;0.46;0;14.75
660282201;1.38;11.42;0;1.04;0;13.15
660282202;0.35;3.18;0;0.35;0;3.89
660282203;0.22;3.06;0.22;0.66;0;3.94
660282204;2.85;9.91;0.21;0.95;0.21;13.38
660282205;0.85;11.65;0;0.85;0.28;13.07
660282206;0;8.26;0;0;0.41;8.68
660282207;2.42;13.94;0;0.61;1.21;17.58
660282208;1;3.68;0;1.34;0;5.69
660282209;1.58;1.98;0;1.19;0.4;4.35
660282301;1.66;6.08;1.66;0;0;8.84
660282302;0;7.57;0.4;0;0;7.97
660282303;0.44;1.75;0;0.44;0;2.62
660282304;0;1.15;1.72;0;0;2.87
660282305;0;0.72;0;0.24;0;0.97
660282306;0.31;0.31;0;0.31;0;0.93
660282307;0;0.97;0;0;0;0.97
660282308;0;0.36;0;0.72;0;1.08
660282309;0;0.78;0;0;0;0.78
660282310;1.68;1.68;0.56;0;0.56;3.91
660282311;0.33;0.65;0.33;0.65;0;1.95
660282312;0.42;0.42;0;0;0;0.84
660282401;0.41;2.07;0;0;0;2.07
660282402;0;1.17;0;0.39;0;1.56
660282403;0;4.66;0;0.52;1.04;6.22
660282404;0.82;1.22;0;0.41;0;2.04
660282405;0.69;1.04;0;0;0.35;2.08
660282406;1.2;5.99;0;0;0;5.99
660282407;0;1.3;0;0;0;1.3
660282408;0.57;9.77;0;0;0;9.77
660282409;1.18;3.55;0;0.59;0;4.73
660282410;0;3.62;0;0.72;0;4.35
660282411;2.21;2.94;1.47;0;0;5.15
660282412;0.39;3.09;1.16;0;0;4.25
660282501;1.83;8.72;0;4.13;0.46;13.76
660282502;0.71;5.67;0;1.42;0.71;7.8
660282503;0.42;6.78;0;0;0.42;6.78
660282504;0;5.11;0;0;0;5.11
660282505;0.52;5.15;0;1.55;0;7.22
660282506;1.1;6.96;0;1.1;0.73;9.89
660282507;0.54;3.23;0;0.54;0;4.3
660282508;1.82;13.64;1.82;1.82;0.45;16.36
660282509;0;2.07;0;0.69;0;2.76
660282510;0.56;5.65;0;1.69;1.13;9.04
660282511;0.74;0.74;0;1.48;0.74;3.7
660282512;0.9;3.17;2.26;0.9;0;7.24
660282513;1.07;4.28;0;0;0;4.81
660282514;0;2.87;0;1.15;0.57;4.6
660282515;0.4;4.78;0;1.99;0;6.77
660282516;0.45;5.8;0;0;0.89;6.7
660282601;0.29;0.58;0;0.88;0;1.75
660282602;0;2.7;1.69;0.68;0.34;5.07
660282603;2.1;0.42;3.36;0.84;0;5.04
660282604;0;0.71;0;0.71;0.36;1.78
660282605;0;2.76;0;0;0.55;3.31
660282606;2.03;5.69;6.5;1.22;0.81;12.2
660282607;0.49;0;0;1.46;0.98;2.93
660282608;0.49;0.49;0;0;0;0.98
660282609;0;2.44;1.46;0.98;0;4.88
660282610;2.49;3.91;0;1.07;0.36;6.76
660282611;0;4.39;0;0.88;0;5.26
660282612;2.29;4.96;0;0.76;0;6.87
660282701;10.13;17.3;8.86;0;0.42;29.96
660282702;2.58;4.52;0.65;0.97;0.32;8.71
660282703;2.84;6.46;2.33;0.52;0.78;10.59
660282704;3.85;8.74;0.35;1.4;0.7;14.34
660282705;2.9;8.06;0.97;0.65;0.32;12.58
660282706;1.92;7.12;0.55;0.27;0.27;9.86
660282707;2.79;2.79;1.11;1.39;0.56;7.8
660282801;5.14;8.74;1.29;0.51;1.54;15.42
660282802;6.26;4.54;0.43;0;0;10.15
660282803;5.52;3.25;0.32;0;0;8.44
660282804;1.09;2.55;1.09;1.46;0.36;6.2
660282805;1.93;4.7;0.55;0;0.55;7.18
660282806;3.65;2.28;0;0.91;0;6.85
660282807;1.88;2.14;0.54;0.27;0.27;4.29
660282808;10;5.68;1.08;0.81;0.54;16.49
660282809;5.01;5.76;1.25;1;1.25;12.53
660282810;9.01;4.65;4.07;0.29;1.16;16.57
660282811;9.05;3.7;2.06;0.41;0.82;14.81
660282812;5.03;2.38;0;0;0.26;7.41
660282813;7.81;6.05;3.02;0.5;2.27;16.12
660282814;7.5;6.75;2.25;2;1.5;16.75
660282815;3.4;9.57;0.31;0.62;0.62;13.58
660282816;1.52;7.22;3.8;0.38;0.38;12.93
660282817;2.69;4.71;1.35;0;0.67;9.09
660282901;0.51;2.56;0.51;0.51;0;4.1
660282902;1.69;3.38;5.06;0.84;0.42;9.7
660282903;1.64;9.51;0;0;0.33;10.82
660282904;1.76;5.29;1.76;0.88;0.88;10.13
660282905;2.13;6.38;0;1.06;0.53;10.11
660282906;2.24;17.09;2.8;2.52;0.28;22.97
660282907;2.55;10.95;2.55;1.46;0;16.42
660282908;2.3;8.22;0;1.64;0;10.2
660282909;3.54;11.58;0.96;2.57;0.32;17.36
660282910;3.41;1.89;2.27;0.76;0.38;8.33
660283001;3;3.9;0;1.2;0.6;8.41
660283002;1.97;12.11;0.56;1.69;0;15.49
660283003;3.12;15.32;0.26;0.78;0;17.92
660283004;1.22;3.05;0;0;0.3;4.27
660283005;1.79;5.87;0;1.02;0.51;8.93
660283006;4.63;10.98;4.63;0.73;0.49;20.24
660283007;2.83;10.53;0.4;0.81;0;14.57
660283008;1.17;10.26;0.29;0;0.88;12.61
660283009;5.44;18.91;0;0.24;0.24;21.99
660283010;4.78;4.78;0;2.87;0.32;12.1
660283101;1.92;9.94;3.85;0.64;0;10.9
660283102;0.61;10.43;0.61;0.31;0;11.66
660283103;2.65;11.95;0;1.33;0.44;15.04
660283104;0.34;13.99;0;0;0.34;14.33
660283105;2.87;9.55;0.64;1.27;0.64;14.01
660283106;0.87;6.09;0;1.74;0;8.7
660283107;2.07;8.47;0.41;1.86;0.21;12.4
660283108;1.99;3.23;0;0.5;0;5.71
660283109;2.43;8.11;0.54;0.54;0;10.81
660283110;1.38;5.5;0.92;0.46;0.92;8.26
660283111;3.11;7.56;0.89;0.89;0;11.56
660283112;3.43;10.53;0;1.83;0;14.65
660283113;4.53;2.72;0;1.51;0.6;8.16
660283114;6.59;4.76;3.66;1.47;1.1;15.02
660283115;5.38;4.23;0.38;2.69;0;11.54
660283116;2.88;4.79;0;0.32;0;7.67
660283117;5.66;10.24;2.7;0.81;0.27;15.09
660283201;1.27;7.11;0;0.51;0.25;9.14
660283202;3.57;15.31;0;0.51;1.02;18.88
660283203;1.69;13.98;0;1.69;0;17.37
660283204;4.79;7.98;0.53;0.53;0.53;11.17
660283205;3.97;6.5;0;1.44;0;10.83
660283206;2.07;4.14;0.34;0;0.34;6.21
660283207;3.98;6.64;0;0.44;0;9.73
660283208;2.94;1.68;0.84;0.42;0.42;5.88
660283209;1.1;4.95;1.1;0.55;0.55;8.24
660283210;2.12;1.59;0.53;0;0;3.7
660283211;0.44;4;0;0;0;4.44
660283212;1.44;5.04;0;0;0;6.47
660283301;6.98;4.65;2.33;0.78;0;13.18
660283302;3.88;11.64;1.29;2.59;0;17.24
660283303;3.33;5.67;0;0.67;0;9.67
660283304;6.19;2.06;2.06;1.72;0.34;10.65
660283305;1.44;6.5;0.36;1.08;0.36;8.66
660283306;3.47;9.54;0;1.73;1.16;14.74
660283307;3.02;11.4;0;0;0.47;13.72
660283308;4.9;8.51;7.73;1.55;0.52;19.33
660283309;1.48;4.44;0;1.48;0.37;7.41
660283310;3.94;5.91;0;1.97;0.99;12.81
660283311;1.69;2.54;0;0.42;0;4.24
660283312;2.96;2.46;0.99;0.49;0.49;7.39
660283313;0.83;1.94;0;0.83;0.28;3.88
660283314;4.2;6.16;2.52;1.4;0.56;10.64
660283315;6.67;5.22;1.74;2.32;0.87;13.91
660283401;7.01;1.11;0.74;0;1.85;9.96
660283402;4.78;4.78;0.64;1.91;0.64;10.51
660283403;4.27;1.71;0;0.43;0.43;6.84
660283404;0.74;0.37;0;0.37;0;1.48
660283405;3.29;1.8;0;0.3;0.3;5.39
660283406;4.32;5.48;2.59;0;0;10.37
660283407;1.64;1.37;0;0.27;0;3.28
660283408;1.6;3.21;0.64;0;0.32;5.45
660283409;3.97;11.11;1.32;0.53;1.32;15.87
660283410;2.59;2.27;0.97;1.29;1.62;7.12
660283411;11.18;13.1;4.79;0.32;0.32;23.64
660283501;5.45;12.73;3.64;2.27;0;21.36
660283502;1.39;4.17;0;1.85;0.46;7.87
660283503;0.42;3.77;0.84;2.51;0;6.69
660283504;1.04;1.56;0;1.04;0;3.65
660283505;0;3.23;1.08;1.08;1.08;6.45
660283506;0;1.34;0;1.01;1.01;3.36
660283507;0.86;6.87;0.86;2.15;0;9.87
660283508;0;2.56;0;1.03;0;3.59
660283509;1.5;1.5;4.5;1.5;0.5;8
660283510;0.43;1.74;0;2.61;0;4.78
660283511;2.93;2.93;1.1;2.56;0.37;9.16
660283512;3.09;6.19;4.12;0;1.03;9.28
660283513;1.31;1.64;0;1.64;0.33;4.59
660283514;3.24;19.43;0;1.62;1.21;22.27
660283515;1.45;3.78;0;0.29;0.29;5.52
660283516;1.16;3.88;1.94;0.78;0;7.36
660283517;3.06;5.24;1.75;0.44;0;10.04
660283601;2.11;4.74;0;0.53;0;7.11
660283602;2.04;0.29;0;0.29;0.58;3.21
660283603;1.29;8.36;0;0.32;0.32;9.32
660283604;1.66;8.56;1.38;0.28;0.55;11.33
660283605;0;2.13;1.28;0.43;0;3.4
660283606;0;0;0;0;0;0
660283607;2.56;9.89;1.1;0;0;12.82
660283608;2.36;7.09;1.18;0.79;0.39;11.02
660283609;4.19;10.89;0.84;1.4;0.56;16.48
660283610;3.97;7.94;0.5;2.48;0.5;14.39
660283611;6.8;13.6;1.98;1.42;0.85;22.1
660283701;2.66;5.65;1;0;1;8.97
660283702;11.42;4.32;0.62;0;1.23;16.67
660283703;3.22;5.36;0.8;0.27;0.8;9.65
660283704;3.02;7.56;0;0.5;1.01;11.59
660283705;4.15;4.45;0.59;0.59;1.78;10.68
660283706;4.25;0.98;0;0;0.33;5.56
660283707;5.78;10.2;1.02;0.68;0.34;17.01
660283708;4.25;2.29;1.63;1.31;1.63;8.82
660283709;5.03;12.17;0;0.26;0.53;16.14
660283710;1.69;3.73;0;0;0.68;6.1
660283711;4.26;2.13;0.53;0.53;0.8;7.98
660283712;2.99;2.99;0.82;0.82;0.54;7.61
660283713;4.63;2.12;1.54;0.58;0.58;8.49
660283714;2.71;3.92;0.6;0;0.9;8.13
660283715;11.2;8.25;3.34;0;1.38;21.81
660283801;7.27;1.82;1.41;1.62;0.81;11.11
660283802;3.77;0.75;0.5;1.01;1.76;7.04
660283803;2.38;0.95;0.48;0.95;1.19;5.7
660283804;4.77;3.82;0.48;1.91;0.95;11.22
660283805;8.16;2.11;0.53;0.53;1.05;11.32
660283806;3.24;1.08;0.22;0.65;0.65;4.97
660283807;7.14;0.4;2.38;2.38;2.78;13.89
660283808;10.47;0.78;3.88;0.39;0.78;14.34
660283809;2.28;7.12;1.71;0;0;9.12
660283810;4.41;3.24;0.59;1.18;0.29;9.12
660283811;3.68;1.73;1.08;0.87;0.22;7.58
660283901;3.2;3.91;1.07;0.71;0.71;8.54
660283902;7.23;11.27;0.58;0.87;1.45;19.36
660283903;9.25;7.53;2.15;1.72;2.15;20.22
660283904;8.3;4.26;0.22;1.79;1.12;13.9
660283905;4.42;3.06;3.06;1.36;0;10.2
660283906;8.15;2.15;1.29;0;0.86;11.59
660283907;5.77;6.01;0.72;2.4;1.68;14.18
660283908;4.39;8.78;1.22;2.93;0.73;16.34
660283909;7.52;5.56;1.96;1.31;0.33;14.71
660283910;12.32;4.27;8.53;0.95;0.95;22.75
660284001;6.26;2.24;0;0.67;0.67;9.17
660284002;1.23;2.76;0;0;1.23;5.21
660284003;2.02;3.31;0.18;2.39;0.92;7.9
660284004;5.58;2.01;0.67;0.89;1.56;9.15
660284005;6.22;3.24;0;1.08;0;9.73
660284006;7.24;4.18;1.39;1.95;0.84;13.65
660284007;6.02;0.79;0.26;1.31;0.79;9.16
660284008;6.07;4.86;1.21;0.4;0.4;11.74
660284009;4.8;6.55;0;1.31;1.75;12.66
660284101;5.99;7.87;0.37;2.62;0.37;15.36
660284102;4.44;1.78;0.89;0;0.89;8
660284103;2.45;1.63;0.27;0.54;0.82;5.45
660284104;4.06;1.11;0;1.11;0.37;5.9
660284105;2.91;0.97;0.49;0.49;0;4.37
660284106;5.99;1.3;1.3;1.3;0.26;9.11
660284107;7.14;6.86;0.86;0.57;2.57;16.29
660284108;6.18;4.49;0.84;0.84;1.12;12.64
660284109;7.35;0.32;0;0.96;0.64;8.95
660284110;10.95;6.19;0.95;2.38;0.48;19.05
660284111;7.07;2.69;0.67;0.67;0.34;10.77
660284112;4.27;5.13;0;3.42;1.71;14.53
660284113;6.73;3.37;0;0.34;0.34;10.1
660284114;3.03;0;0.34;1.01;1.01;5.05
660284115;11.15;0.66;1.64;0.66;0.66;14.1
660284116;10.94;4.3;0.39;0.39;0.78;16.8
660284201;7.46;4.18;1.19;0.6;0.3;11.94
660284202;8.45;5.41;0.68;4.05;0.68;17.57
660284203;3.64;2.18;0.73;0.24;0;6.55
660284204;2.44;7.33;0;0.73;0.49;10.02
660284205;3.83;17.02;1.7;0.85;0;20
660284206;3.98;4.87;0.44;0.88;0.88;8.85
660284207;3.97;9.92;1.19;0.79;0.4;15.48
660284208;2.81;7.63;0;1.61;0.4;11.65
660284209;5.04;6.47;0.48;0.96;0.96;12.71
660284210;8.02;7.74;1.43;0.86;1.15;17.19
660284211;3.43;9.61;2.97;0.92;0.69;16.7
660284212;6.63;0.83;0.83;1.38;0.83;9.39
660284213;9.54;5.54;1.23;1.23;0.92;16
660284214;7.55;1.51;0;2.72;0.3;11.78
660284215;3.7;6.06;0;1.35;0.34;11.11
660284216;6.72;2.94;0;0.84;0;9.66
660284217;5.43;2.17;1.36;1.36;0.27;9.24
660284301;0;0;0;0.39;0;0.39
660284302;0;0;0;0;0;0
660284303;1.34;1.34;0;0;0;2.68
660284304;1.88;1.41;0;0.94;0.47;4.23
660284305;3.28;6.2;0;1.46;0.73;10.95
660284306;0.56;0.85;0.85;0.28;0.28;2.82
660284307;0.83;1.65;0;0;0;2.48
660284308;1.31;8.52;0;0;0.98;9.84
660284309;3.28;5.47;1.09;0.36;0.73;10.95
660284310;1.35;0.45;0;0;0.45;2.25
660284311;1.64;4.92;0.41;0.41;0.41;6.56
660284312;0.55;1.1;0;0.55;0;2.2
660284313;0;0.48;0.97;0;0;1.45
660284314;0;0;0;0.68;0;0.68
660284315;21.17;17.88;1.46;0.73;1.09;35.4
660284316;13.18;11.24;1.16;0.39;0.39;23.26
660284401;2.15;0.81;0;0;0.27;2.96
660284402;4.85;4.85;1.76;0.44;0.44;9.69
660284403;3.18;7.77;0;4.24;1.41;13.43
660284404;1.39;4.88;1.39;0;0.7;8.01
660284405;1.35;5.41;0.45;0;0;6.76
660284406;2.84;8.51;0;1.42;0;11.7
660284407;2.03;3.19;1.74;0.58;0.58;7.25
660284408;1.45;3.13;0;0.72;0;4.82
660284409;0.74;1.85;0.37;0.74;0;3.69
660284410;0.55;1.65;0;0.28;0;2.48
660284411;0;0;0;0.79;0;0.79
660284412;1;3.33;0.33;0.67;0.67;6
660284413;4.2;6.91;0.6;0.6;0.3;12.01
660284414;1.36;0.68;0.91;1.59;0;4.31
660284415;1.14;0.68;0;0.68;0.23;2.73
660284416;1.63;0.47;1.86;0.93;0.23;3.96
660284501;0.35;1.4;2.81;0;0;4.21
660284502;0.77;0.77;0;0.77;0.38;2.68
660284503;0.72;5.05;0.36;0.36;0.36;6.14
660284504;0.83;1.39;0;0.28;0.28;2.77
660284505;0;1.18;0;1.57;0;2.76
660284506;1.86;9.04;1.06;0.8;0.8;11.7
660284507;3.11;1.04;1.04;2.69;0;7.45
660284508;2.15;1.34;1.34;0.54;0.54;5.11
660284509;1.17;1.86;0.23;1.86;0.23;4.9
660284510;0.85;1.28;0.85;1.28;0;3.42
660284511;1.18;4.71;0;0.78;0;6.67
660284512;0;1.59;0;2.86;0.32;4.76
660284513;0;0.31;0.31;0;0;0.63
660284514;0;2.08;0;0.89;0;2.98
660284515;0.53;0.27;0;0.27;0;1.06
660284516;3.64;8.91;0;0.81;0;12.15
660284601;0.47;0.47;0;0;0.47;1.4
660284602;0.78;0.78;0;0;0;1.55
660284603;0.4;4.38;0;0.8;0.4;5.98
660284604;0.35;2.1;0;0;0;2.1
660284605;2.17;2.17;1.74;0.22;0;3.7
660284606;0.72;1.45;0.97;0;0.48;3.14
660284607;0.51;2.28;0.25;1.27;0;4.31
660284608;1.6;3.01;0.2;0.8;0.6;5.81
660284609;1.91;7.01;0;1.49;0.21;9.34
660284610;0.31;1.56;0;0.93;0.31;3.12
660284701;0.85;3.68;0.57;0.85;0.28;5.67
660284702;1.68;4.76;1.12;0;0.28;7
660284703;0.65;0.65;0;0.32;0.65;2.26
660284704;0.62;2.16;0;0.31;0;2.47
660284705;1.23;4.51;0;0.82;0;6.56
660284706;0.88;9.65;0;2.19;0;11.4
660284707;0.94;3.75;0.94;0.63;0;6.25
660284708;3.39;0.52;1.04;0.52;0.26;5.21
660284709;0.85;0.85;0.85;0;0.43;2.56
660284710;0.79;0;2.36;0.39;0;2.76
660284801;1.81;7.25;1.09;0;0;9.78
660284802;2.8;5.61;1.4;0;0;7.94
660284803;3.29;2.88;0.82;0.41;0;7
660284804;0.91;1.82;0.91;3.64;0;6.36
660284805;0;2.16;1.23;0.62;0.62;4.63
660284806;0.32;1.61;0;0.32;0;2.26
660284807;0.7;0.35;0;0.35;0.35;1.76
660284808;0.34;0.68;0;0.34;0;1.37
660284809;0.4;0;0.4;0.4;0;1.19
660284810;0;1.07;0;1.07;0;2.14
660284811;0.33;5.23;0;1.96;0.33;7.52
660284812;0;0;0;2.4;0;2.4
660284813;0;0;0;0.74;0.37;1.1
660284814;0;1.22;0;0.91;0;2.13
660284901;0;0;0;0;0;0
660284902;2.63;2.63;1.32;0;0;5.26
660284903;9.46;7.24;3.71;0.37;0.19;19.11
660284904;1.49;2.99;1;0.5;0;5.47
660284905;2.22;7.78;3.33;1.11;0;14.44
660284906;5.86;15.23;1.17;1.17;0.39;22.66
660284907;2.07;3.36;1.03;1.29;0.52;8.01
660284908;3.73;4.97;0.62;1.86;0;11.18
660284909;16.34;3.88;2.49;0;0.55;21.61
660284910;13.66;7.56;2.91;1.45;0.58;22.97
660284911;8.92;4.82;0;1.2;0;13.49
660284912;11.08;7.78;3.07;0.47;0.94;19.81
660284913;16.02;4.33;3.03;0;0;20.35
660284914;12.92;2.5;0.83;1.25;0;15.83
660284915;3.32;6.27;0;1.11;1.11;10.33
660284916;10.68;7.63;3.05;0.87;1.31;21.79
660284917;6.25;3.82;0.69;0.35;0.69;11.46
660284918;2.63;8.27;0;1.13;0.75;12.41
660285001;0;0.51;0.51;1.54;0;2.05
660285002;1.67;4.33;2.67;1.67;0;9.33
660285003;0.8;1.6;0;0;0;1.6
660285004;6.83;5.22;0;1.2;0.8;12.45
660285005;5.33;5.33;2.67;2;0.67;14.33
660285006;3.82;5.62;1.57;1.35;0;10.34
